platform,processor,num_threads,0,1,2
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,68,0.033581537000003436,0.0337224006652832
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,69,0.033338743000001614,0.03342390060424805
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,70,0.033386201999995535,0.03370261192321777
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,71,0.0337937299999993,0.03397369384765625
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,72,0.03380104300000397,0.034052371978759766
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,73,0.03364759900000536,0.033855438232421875
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,74,0.03438381499999821,0.03455686569213867
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,75,0.036741671000001475,0.036936283111572266
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,76,0.03607683200000622,0.03633451461791992
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,77,0.034160685999999885,0.03444719314575195
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,78,0.034229998000000705,0.03455352783203125
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,79,0.034412327000005405,0.034865379333496094
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,80,0.03321041799999591,0.033441781997680664
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,81,0.03377502400000054,0.03397798538208008
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,82,0.0342554989999968,0.034569740295410156
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,83,0.033754116999993755,0.03394770622253418
